Epoch	Train Loss	Train Accuracy	Validation Loss	Validation Accuracy
1	6.603053092956543	0.512499988079071	0.0659150779247284	0.9714285731315613
2	3.575507402420044	0.7250000238418579	0.2456980049610138	0.8857142925262451
3	0.8438290357589722	0.8374999761581421	0.056356046348810196	0.9714285731315613
4	0.3218631446361542	0.9624999761581421	0.0033220804762095213	1.0
5	0.16662269830703735	0.96875	0.05248004198074341	0.9714285731315613
6	0.15354962646961212	0.981249988079071	0.020816940814256668	1.0
7	0.07540696859359741	0.981249988079071	0.007076262030750513	1.0
8	0.03950105234980583	0.987500011920929	0.004713875707238913	1.0
9	0.028962641954421997	0.9937499761581421	0.0033728324342519045	1.0
10	0.0229081641882658	0.987500011920929	0.001169135794043541	1.0
